country,ISO,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,COUNTRYDATA,PR,CL,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,rating,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,important,ORGCONFIDENCE,courts,government,parliament,armedforces,electoralauth,ROTATING,bribed,bribed2,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,PEItype
Honduras,HND,Rest,2013,Rest,Rest,Rest,2017,Rest,Rest,Rest,2021,Rest,,4,4,2,5039,2,Americas,0,,27,42,5,,4,2,4,2,4,2,32,28,,3,3,2,3,45,41,,4,3,3,3,3,39,48,,3,3,3,3,4,2,43,39,,3,3,3,3,3,3,3,3,56,52,,2,4,2,2,3,4,44,40,,2,2,2,4,2,4,2,27,23,,4,2,4,2,3,4,3,3,4,2,43,43,,3,3,3,2,4,3,3,57,53,,4,2,3,3,3,3,3,50,45,,2,3,3,2,47,41,,1,,3,3,3,3,4,,4,2,,,,3,,,,,,4,2,2,2,3,3,,,,,,,,,,,,,,,Low
Croatia,HRV,Rest,Rest,Rest,2015,2016,Rest,Rest,Rest,2020,Rest,Rest,,1,2,4,25227,4,Eastern Europe & Central Asia,0,,64,65,8,,3,3,2,4,2,4,70,67,,4,4,4,4,80,78,,3,3,3,3,3,53,53,,3,3,3,3,3,3,54,48,,1,5,4,4,4,2,2,4,67,66,,3,3,3,3,3,3,55,51,,3,3,3,2,4,3,3,59,55,,2,4,2,4,4,4,3,3,4,1,65,63,,4,4,4,1,5,2,4,89,81,,2,4,1,5,1,5,4,89,83,,4,4,4,4,72,70,,2,,4,5,5,5,7,,2,4,4,2,4,4,4,3,3,4,3,,,,,,,,,,,,,,,,,,,,,High
Haiti,HTI,Rest,Rest,Rest,2015,2016,Rest,Rest,Rest,Rest,Rest,Rest,,5,5,1,1771,2,Americas,0,,40,32,3,,3,3,4,2,3,3,48,41,,2,2,2,2,35,26,,3,3,3,3,2,47,46,,4,2,4,2,4,2,29,23,,3,3,2,3,4,2,3,3,51,38,,3,4,3,3,3,4,60,52,,2,2,1,5,1,4,2,26,17,,4,2,5,1,2,3,2,2,2,1,31,21,,2,2,2,2,4,2,4,46,38,,5,1,4,2,4,2,2,32,24,,2,3,2,2,38,30,,1,,2,2,3,2,3,,4,2,3,4,2,3,2,4,2,4,2,,,,,,,,,,,,,,,,,,,,,Very Low
Hungary,HUN,Rest,Rest,2014,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,3,2,4,29675,4,Eastern Europe & Central Asia,1,,43,53,5,,4,2,5,1,3,3,37,28,,3,4,3,4,68,67,,4,2,4,2,2,27,35,,2,4,3,3,3,3,68,64,,2,4,3,3,4,2,2,4,60,59,,2,4,2,1,2,3,31,26,,3,2,2,3,3,5,1,33,32,,1,5,3,3,4,4,3,4,4,1,62,63,,4,4,4,2,4,2,4,77,74,,3,3,3,3,1,5,4,70,67,,3,4,3,3,56,54,,2,,6,3,3,5,5,,3,3,,,,,,,,,,,,,,4,2,4,2,2,3,3,3,2,4,2,2,4,2,3,3,Moderate
Indonesia,IDN,Rest,Rest,2014,Rest,Rest,Rest,Rest,2019,Rest,Rest,Rest,,2,4,2,11128,3,East Asia & Oceania,0,,56,57,7,,3,3,3,3,2,4,59,54,,4,4,4,4,72,67,,2,4,2,4,3,68,62,,3,3,3,3,3,3,53,45,,2,4,4,4,3,3,2,4,69,64,,2,3,3,3,3,4,57,51,,3,3,2,4,2,4,2,46,38,,3,3,3,3,4,4,4,3,4,2,62,57,,4,4,4,2,4,2,4,72,68,,4,2,3,3,3,3,4,58,52,,4,4,4,4,74,70,,2,,4,6,4,5,6,,3,3,,,,,,,,,,,,,,3,3,5,2,4,3,3,4,4,3,3,3,4,3,4,2,Moderate
India,IND,Rest,Rest,2014,Rest,Rest,Rest,Rest,2019,Rest,Rest,Rest,,2,3,2,6325,3,South Asia,0,,58,56,7,,3,3,2,4,2,4,70,64,,4,4,3,4,73,70,,2,4,2,4,3,70,58,,4,2,3,3,3,3,50,36,,2,4,3,3,4,2,2,4,61,54,,3,3,3,3,3,3,53,49,,3,2,2,3,3,3,3,40,28,,3,3,4,2,4,4,4,3,3,2,58,53,,4,4,4,3,3,2,4,74,67,,2,4,3,3,2,4,4,71,67,,3,4,3,4,70,72,,2,,6,5,5,7,7,,4,2,,,,,,,,,,,,,,3,3,4,2,3,2,4,3,2,4,3,2,3,3,4,2,Moderate
Ireland,IRL,Rest,Rest,Rest,Rest,2016,Rest,2018,Rest,2020,Rest,Rest,,1,1,4,76523,4,Europe,1,,76,72,9,,2,4,2,4,2,4,76,76,,4,4,5,5,90,90,,2,4,2,4,4,69,69,,4,2,4,2,4,2,29,32,,2,4,4,3,2,4,1,5,80,80,,4,2,4,4,4,2,61,66,,4,3,3,2,4,2,4,66,64,,1,5,2,4,4,4,3,4,2,1,60,59,,5,4,5,1,5,1,5,92,90,,2,4,1,5,1,5,4,88,87,,5,4,4,4,82,83,,2,,8,7,7,8,8,,1,5,5,1,5,5,5,1,5,3,3,,,,,2,4,3,3,4,2,4,4,1,5,4,4,3,3,3,3,Very High
Iran,IRN,Rest,2013,Rest,Rest,2016,2017,Rest,Rest,2020,2021,Rest,,6,6,3,17110,3,Middle East,0,,43,41,4,,4,2,4,2,4,2,20,19,,3,4,2,3,53,60,,4,2,2,4,2,42,50,,3,3,3,3,3,3,45,52,,5,1,2,2,4,2,4,2,16,19,,3,4,2,2,3,3,38,37,,2,2,1,3,3,4,2,26,26,,3,3,3,3,4,2,2,2,3,1,53,42,,4,4,4,4,2,4,2,49,49,,2,4,2,4,1,5,3,72,61,,2,3,2,3,40,40,,2,,2,4,4,3,3,,3,3,4,2,4,4,3,3,3,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,Low
Iraq,IRQ,Rest,Rest,2014,Rest,Rest,Rest,2018,Rest,Rest,2021,Rest,,5,6,3,13851,3,Middle East,0,,36,43,5,,3,3,4,2,3,3,51,46,,3,3,3,3,53,50,,4,2,3,3,3,45,45,,4,2,4,2,4,2,40,30,,3,3,3,3,3,3,4,2,54,46,,2,3,3,3,3,4,42,45,,2,2,2,4,2,4,2,28,25,,4,2,4,2,3,4,3,3,4,2,46,45,,3,3,3,3,3,3,3,48,47,,4,2,3,3,3,3,3,43,47,,3,3,3,3,52,49,,3,,4,3,3,3,4,,4,2,,,,,,,,,,,,,,4,2,4,2,2,5,1,4,3,3,3,2,4,2,4,2,Low
Iceland,ISL,Rest,2013,Rest,Rest,2016,2017,Rest,Rest,2020,2021,Rest,,1,1,4,50529,4,Europe,1,,82,78,9,,2,4,2,4,2,4,73,68,,4,5,4,4,82,82,,2,4,2,4,4,78,66,,1,5,1,5,1,5,97,93,,1,5,4,4,2,4,1,5,88,85,,4,2,4,4,4,2,58,66,,4,3,3,2,4,2,4,67,67,,1,5,1,5,5,5,5,4,5,1,81,81,,4,4,4,1,5,1,5,89,86,,2,4,2,4,1,5,3,77,85,,5,4,4,4,84,79,,3,,8,7,7,7,8,,1,5,5,1,5,5,5,1,5,2,4,3,5,4,3,2,4,,,,,,,,,,,,,,,Very High
Israel,ISR,Rest,2013,Rest,2015,Rest,Rest,Rest,2019,2020,2021,2022,,2,3,4,39618,3,Middle East,1,,88,75,9,,2,4,2,4,2,4,79,77,,5,5,5,5,90,92,,3,4,1,5,5,85,64,,1,5,1,5,2,4,90,83,,2,4,4,4,2,4,2,4,73,72,,3,2,4,3,3,3,56,67,,4,3,3,2,4,3,3,65,69,,2,4,3,3,5,5,2,5,2,1,54,62,,4,5,4,1,5,2,4,96,80,,2,4,2,4,1,5,4,77,86,,5,5,5,5,92,91,,2,,9,6,6,8,9,,1,5,,,,,,,,,,,,,,3,3,5,1,4,2,4,3,1,5,4,3,4,2,4,2,Very High
Italy,ITA,Rest,2013,Rest,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,1,1,4,39084,4,Europe,1,,63,69,8,,3,3,3,3,3,3,56,51,,4,4,4,5,84,83,,2,4,2,4,4,68,68,,2,4,2,4,2,4,81,82,,2,4,3,3,4,2,2,4,62,59,,3,3,3,3,3,3,55,51,,3,3,2,2,4,3,3,58,59,,1,5,2,4,4,4,2,4,4,1,64,67,,4,4,4,2,4,2,4,81,83,,2,4,2,4,1,5,4,81,81,,4,4,4,4,80,83,,3,,7,6,6,6,7,,2,4,,,,,,,,,,,,,,3,3,4,2,3,3,3,4,2,4,3,3,4,2,4,2,High
Jamaica,JAM,Rest,Rest,Rest,Rest,2016,Rest,Rest,Rest,Rest,Rest,Rest,,2,3,3,8835,2,Americas,0,,65,67,8,,2,4,2,4,2,4,72,72,,4,4,5,5,87,87,,2,4,2,4,3,68,68,,3,4,3,3,2,4,62,59,,1,5,3,3,2,4,2,4,75,73,,3,2,4,4,4,3,58,61,,3,3,2,3,3,3,3,41,45,,2,4,2,4,4,4,2,3,1,1,48,46,,4,4,4,1,5,1,5,85,85,,3,3,2,4,1,5,5,78,76,,4,4,4,5,82,82,,4,,7,6,6,7,8,,3,3,4,3,3,4,4,4,2,4,2,,,,,,,,,,,,,,,,,,,,,High
Jordan,JOR,Rest,2013,Rest,Rest,2016,Rest,Rest,Rest,2020,Rest,Rest,,6,5,3,9489,3,Middle East,0,,42,46,6,,4,2,4,2,4,2,33,29,,3,4,3,4,61,59,,4,2,4,2,2,34,42,,4,2,3,3,3,3,41,38,,4,2,3,4,4,2,3,3,52,51,,2,4,2,3,3,4,49,44,,3,2,2,4,2,4,2,36,34,,3,3,4,2,4,3,3,3,2,2,52,43,,3,3,3,3,3,3,3,51,60,,4,2,3,3,3,3,3,44,49,,3,4,3,3,58,56,,2,,6,4,4,5,6,,4,2,4,2,4,4,3,4,2,5,2,,,,,,,,,,,,,,,,,,,,,Low
Japan,JPN,2012,2013,2014,Rest,2016,2017,Rest,2019,Rest,2021,2022,,1,1,4,40523,3,East Asia & Oceania,1,,69,71,8,,3,3,3,3,2,4,55,52,,4,4,5,5,88,87,,3,3,3,3,3,59,54,,2,4,2,4,2,4,84,79,,2,4,4,3,2,4,2,4,74,71,,3,3,3,4,3,3,55,59,,4,3,3,2,4,2,4,66,62,,1,5,2,4,4,4,3,4,4,1,67,66,,4,5,5,2,4,2,4,89,85,,2,4,2,4,1,5,4,80,82,,4,4,4,4,82,80,,2,,8,6,6,7,8,,2,4,4,2,4,5,4,3,3,4,2,3,4,4,3,2,4,1,5,4,2,4,4,1,5,4,3,3,3,4,2,Very High
Kazakhstan,KAZ,Rest,Rest,Rest,2015,2016,Rest,Rest,2019,Rest,2021,2022,,7,5,3,27012,4,Eastern Europe & Central Asia,0,,42,42,3,,4,2,4,2,4,2,24,21,,3,4,2,2,51,48,,3,3,3,3,3,49,49,,3,3,3,3,3,3,47,44,,4,2,3,3,4,2,4,2,40,35,,2,4,2,2,2,4,36,33,,2,2,2,3,3,4,2,34,34,,2,4,4,2,4,2,3,3,4,2,54,50,,3,4,2,3,3,3,3,49,48,,3,3,3,3,2,4,3,58,61,,2,3,2,2,39,36,,2,,4,5,3,4,3,,3,3,3,3,3,3,2,4,2,4,2,,,,,3,3,3,3,3,3,3,4,3,4,3,3,4,2,3,3,Low
Kenya,KEN,Rest,2013,Rest,Rest,Rest,2017,Rest,Rest,Rest,Rest,2022,,4,4,2,3493,1,Eastern & Southern Africa,0,,40,46,5,,3,3,3,3,2,4,66,65,,2,3,3,3,50,48,,3,3,3,3,3,62,59,,4,2,4,2,3,3,38,33,,2,4,3,3,3,3,3,3,61,57,,3,3,3,3,4,4,62,58,,2,2,2,4,2,4,2,22,22,,3,3,4,2,4,4,2,3,3,1,42,40,,3,3,3,2,4,2,4,64,51,,5,1,4,2,3,3,4,44,42,,2,4,3,2,47,44,,1,,6,4,4,5,4,,4,2,,,,3,,,,,,3,2,3,3,3,3,,,,,,,,,,,,,,,Low
Kyrgyzstan,KGZ,Rest,Rest,Rest,2015,Rest,2017,Rest,Rest,2020,2021,Rest,,6,5,2,4480,4,Eastern Europe & Central Asia,0,,35,47,5,,3,3,3,3,3,3,48,46,,3,3,3,3,48,49,,3,3,3,3,3,54,51,,4,2,3,3,3,3,47,41,,3,3,2,2,3,3,3,3,42,43,,3,4,2,3,3,4,49,49,,2,2,2,4,2,4,2,29,27,,3,3,3,3,3,4,2,3,3,1,47,48,,3,4,3,2,4,3,3,63,63,,3,3,3,3,2,4,3,48,47,,2,3,3,3,46,46,,1,,2,4,3,3,4,,4,2,,,,3,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,Low
Cambodia,KHM,Rest,2013,Rest,Rest,Rest,Rest,2018,Rest,Rest,Rest,Rest,,6,5,2,3357,3,East Asia & Oceania,0,,33,30,3,,4,2,4,2,4,2,33,25,,3,3,2,3,45,40,,4,2,4,2,2,34,36,,5,1,4,2,4,2,27,20,,5,1,3,3,4,2,4,2,37,31,,2,5,1,2,2,3,30,24,,2,2,1,4,2,4,2,23,15,,3,3,4,2,3,3,1,2,2,1,30,31,,2,4,2,3,3,3,3,47,44,,4,2,3,3,3,3,2,49,41,,2,3,2,2,33,25,,3,,2,3,3,2,3,,4,2,,,,,,,,,,,,,,4,2,3,3,2,3,3,3,4,3,2,2,4,2,4,3,Very Low
Kiribati,KIR,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,2020,Rest,Rest,,1,1,2,2172,5,East Asia & Oceania,0,,63,76,8,,2,4,2,4,2,4,69,69,,5,4,4,5,85,85,,2,4,2,4,3,64,64,,2,4,2,5,2,5,83,83,,2,5,4,4,2,5,2,5,80,80,,4,2,4,4,4,4,70,70,,4,4,3,3,4,3,4,40,78,,2,5,2,4,4,5,2,4,2,2,50,65,,5,4,5,2,5,2,5,85,85,,2,4,2,4,1,5,4,75,87,,5,4,4,4,78,78,,2,,7,7,8,6,8,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very High
Korea,KOR,2012,Rest,Rest,Rest,2016,2017,Rest,Rest,2020,Rest,2022,,2,2,4,39251,3,East Asia & Oceania,1,,78,73,9,,4,2,3,3,3,3,53,52,,4,5,4,4,87,85,,2,4,3,3,3,62,57,,1,5,1,5,1,5,92,83,,2,4,4,4,2,4,2,4,76,72,,3,3,3,3,3,4,56,55,,3,3,3,2,4,2,4,63,61,,1,5,1,5,5,4,4,4,5,1,74,75,,5,5,5,1,5,1,5,93,91,,2,4,2,4,1,5,4,77,79,,4,4,4,4,83,83,,1,,7,6,5,7,8,,2,4,5,1,5,5,5,2,4,3,3,4,4,4,4,2,4,,,,,,,,,,,,,,,Very High
Kuwait,KWT,2012,2013,Rest,Rest,2016,Rest,Rest,Rest,2020,Rest,2022,,5,5,4,69209,3,Middle East,0,,53,54,6,,3,3,4,2,3,3,45,41,,4,4,4,4,71,70,,4,2,2,4,3,58,50,,3,3,2,4,2,4,66,61,,4,2,3,3,3,3,3,3,51,53,,3,3,3,3,3,4,59,52,,3,3,2,4,2,4,2,27,38,,2,4,3,3,4,4,2,4,2,1,57,53,,4,4,4,3,3,2,4,74,66,,4,2,2,4,2,4,4,68,57,,3,4,3,3,63,59,,2,,5,5,6,5,6,,4,2,3,2,4,4,3,4,2,4,2,,,,,,,,,,,,,,,,,,,,,Moderate
Laos,LAO,Rest,Rest,Rest,Rest,2016,Rest,Rest,Rest,Rest,2021,Rest,,7,6,2,7430,3,East Asia & Oceania,0,,,41,2,,5,2,5,1,4,2,25,20,,4,3,2,4,52,59,,4,2,4,2,3,25,47,,3,3,4,2,2,4,58,42,,5,2,3,3,4,2,5,2,23,40,,2,5,1,3,1,2,13,20,,1,2,2,3,3,2,4,10,32,,2,4,2,4,4,1,2,2,2,1,50,39,,3,4,4,4,2,4,2,60,49,,2,5,1,5,1,5,3,,80,,2,3,1,3,39,23,,2,,2,4,4,3,4,,2,4,3,2,4,4,1,2,4,3,4,,,,,,,,,,,,,,,,,,,,,Low
Lebanon,LBN,Rest,Rest,Rest,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,6,4,3,13812,3,Middle East,0,,,46,5,,4,2,4,2,4,2,27,27,,3,3,3,3,50,50,,4,2,4,2,2,27,27,,4,3,3,3,3,3,52,51,,3,3,3,3,3,3,3,3,51,51,,2,3,3,2,3,4,41,42,,3,2,2,4,2,4,2,39,20,,3,3,4,3,3,3,3,2,4,1,48,47,,3,4,3,2,4,3,3,59,64,,3,3,3,3,2,4,3,54,56,,3,3,3,3,46,57,,2,,5,3,4,6,5,,5,1,,,,,,,,,,,,,,3,3,3,3,3,4,2,4,2,4,3,3,4,2,2,4,Low
Liberia,LBR,Rest,Rest,Rest,Rest,Rest,2017,Rest,Rest,2020,Rest,Rest,,3,4,1,1111,1,West Africa,0,,67,58,7,,2,4,2,4,2,4,84,84,,4,4,4,4,69,69,,2,4,2,4,3,73,63,,4,2,4,2,3,3,44,40,,2,4,4,3,3,3,2,4,66,65,,4,3,3,2,3,3,50,53,,2,2,2,3,3,4,3,33,28,,3,3,3,3,4,4,3,3,2,2,50,48,,4,3,4,2,5,2,5,76,76,,3,3,3,3,2,4,4,56,59,,4,4,3,4,69,69,,1,,6,6,6,6,7,,4,3,,,,4,,,,,,2,4,3,3,3,3,,,,,,,,,,,,,,,Moderate
Sri Lanka,LKA,Rest,Rest,Rest,2015,Rest,Rest,Rest,2019,2020,Rest,Rest,,4,4,2,12604,3,South Asia,0,,52,56,7,,2,4,3,3,2,4,70,62,,4,4,4,4,78,74,,3,3,3,3,3,57,51,,3,3,3,3,3,3,58,54,,2,4,3,3,4,2,3,3,55,50,,2,4,2,2,2,4,46,40,,2,2,2,4,2,4,2,32,36,,3,3,3,3,4,4,4,3,2,2,57,54,,4,4,4,2,4,2,4,75,74,,3,3,3,3,2,4,3,63,61,,4,4,4,4,74,70,,2,,6,4,4,5,7,,4,2,,,,,,,,,,,,,,4,2,4,2,4,4,2,4,2,4,3,2,4,2,4,2,Moderate
Lesotho,LSO,Rest,Rest,Rest,2015,Rest,2017,Rest,Rest,Rest,Rest,2022,,3,3,2,2776,1,Eastern & Southern Africa,0,,70,65,8,,2,4,2,4,2,4,84,82,,4,4,4,4,78,77,,2,4,2,4,4,75,73,,4,2,3,3,3,3,52,48,,2,4,4,4,3,3,2,4,73,67,,3,3,3,3,4,4,50,57,,4,3,2,3,3,3,3,53,43,,2,4,2,4,4,4,2,3,2,1,56,53,,4,4,4,2,4,1,5,85,79,,3,3,2,4,1,5,4,80,75,,4,4,4,4,80,75,,2,,6,5,5,3,8,,3,3,,,,4,,,,,,2,4,4,4,2,4,,,,,,,,,,,,,,,High
Lithuania,LTU,2012,Rest,2014,Rest,2016,Rest,Rest,2019,2020,Rest,Rest,,1,1,4,32045,4,Eastern Europe & Central Asia,0,,75,78,9,,2,4,2,4,1,5,85,81,,4,5,4,5,85,83,,2,4,2,4,4,82,72,,2,4,2,4,1,5,86,73,,1,5,5,4,2,4,1,5,86,87,,3,2,4,4,4,4,67,68,,4,4,3,2,4,3,3,67,66,,1,5,2,4,5,4,5,4,5,1,77,76,,4,4,4,1,5,1,5,90,87,,2,4,2,4,1,5,4,86,85,,4,5,4,4,80,81,,2,,7,7,7,8,8,,2,4,4,1,5,4,4,3,3,3,4,,,,,2,4,2,4,4,2,4,3,2,4,4,4,3,3,2,4,Very High
Luxembourg,LUX,Rest,Rest,Rest,Rest,Rest,Rest,2018,Rest,Rest,Rest,Rest,,1,1,4,94278,4,Europe,1,,,76,9,,3,3,2,4,2,4,73,67,,5,4,5,5,90,90,,3,3,2,4,4,73,73,,1,5,1,5,2,5,92,85,,1,5,4,2,2,4,1,5,63,73,,4,2,4,4,3,2,78,59,,4,4,4,1,5,2,4,89,72,,1,5,1,5,4,4,5,3,5,1,69,72,,5,5,5,1,5,1,5,94,90,,3,3,2,5,1,5,3,69,77,,5,5,4,5,89,89,,4,,7,7,8,7,9,,1,5,,,,,,,,,,,,,,2,4,2,4,3,3,3,3,2,4,3,4,3,3,3,3,Very High
Latvia,LVA,Rest,Rest,2014,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,2,2,4,27805,4,Eastern Europe & Central Asia,0,,71,74,8,,2,4,2,4,2,4,81,76,,4,4,4,4,85,83,,2,4,2,4,4,83,70,,2,4,2,4,1,5,83,73,,2,4,5,4,3,3,2,4,78,75,,3,2,4,4,4,3,66,65,,4,4,3,2,4,3,3,68,62,,1,5,2,4,4,4,4,4,5,1,73,74,,4,4,4,1,5,1,5,90,87,,3,3,2,4,1,5,4,80,78,,4,4,4,4,78,78,,2,,7,6,6,8,8,,2,4,,,,,,,,,,,,,,2,4,3,3,4,3,3,4,2,4,4,3,3,3,3,3,Very High
Morocco,MAR,Rest,Rest,Rest,Rest,2016,Rest,Rest,Rest,Rest,2021,Rest,,5,5,2,7991,1,North Africa,0,,82,55,6,,3,3,2,4,2,4,70,67,,4,4,4,4,70,57,,3,3,2,4,3,69,60,,4,2,3,3,2,4,53,51,,2,4,4,3,3,3,2,4,73,54,,3,2,4,4,3,4,73,55,,4,3,2,4,3,3,3,43,46,,2,4,3,3,4,4,2,3,2,2,64,46,,4,4,4,2,4,2,4,85,65,,3,3,2,4,1,5,4,77,62,,4,4,3,4,63,59,,3,,4,5,4,5,5,,4,2,3,2,4,4,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,Moderate
Moldova,MDA,Rest,Rest,2014,Rest,2016,Rest,Rest,Rest,2020,2021,Rest,,3,3,3,9732,4,Eastern Europe & Central Asia,0,,57,59,7,,3,3,3,3,2,4,57,55,,4,4,4,4,70,68,,3,3,3,3,3,57,59,,3,3,3,3,2,4,54,51,,3,3,4,4,4,2,3,3,58,69,,2,4,2,3,2,4,46,41,,3,2,2,3,3,4,2,44,33,,2,4,2,4,4,4,2,3,4,1,52,61,,4,4,4,1,5,1,5,86,78,,3,3,2,4,2,4,4,67,67,,3,4,4,4,64,64,,2,,4,5,4,5,6,,3,3,4,2,4,3,3,4,2,4,3,,,,,,,,,,,,,,,,,,,,,Moderate
Madagascar,MDG,Rest,2013,Rest,Rest,Rest,Rest,2018,2019,Rest,Rest,Rest,,4,4,1,1505,1,Eastern & Southern Africa,0,,47,42,5,,4,2,3,3,3,3,43,40,,3,3,3,3,50,46,,2,4,2,4,3,63,51,,4,2,4,2,5,2,18,18,,3,3,4,4,3,3,4,2,63,52,,2,4,3,3,3,4,50,45,,2,3,2,4,2,4,2,36,24,,3,3,4,2,4,3,3,2,1,1,37,36,,3,3,3,2,4,2,4,66,57,,4,2,4,2,2,4,4,44,42,,2,3,3,3,54,47,,1,,4,3,3,3,4,,4,2,,,,,,,,,,,,,,3,3,2,4,3,4,2,4,2,4,2,3,4,2,4,2,Low
Maldives,MDV,Rest,2013,2014,Rest,Rest,Rest,2018,2019,Rest,Rest,Rest,,4,5,3,14977,3,South Asia,0,,48,54,6,,3,3,3,3,3,3,56,50,,4,4,3,4,71,69,,3,3,3,3,3,60,54,,4,2,3,3,3,3,53,47,,3,3,3,3,3,3,4,2,37,51,,3,3,3,3,3,4,51,54,,3,3,2,4,2,4,2,38,35,,3,3,3,3,4,4,3,3,4,2,58,54,,4,4,4,3,3,3,3,70,64,,3,3,3,3,2,4,4,65,63,,3,3,3,3,60,53,,1,,4,5,5,4,5,,4,2,,,,,,,,,,,,,,3,3,4,2,3,3,3,3,2,4,4,3,3,3,4,2,Moderate
Mexico,MEX,2012,Rest,Rest,2015,Rest,Rest,2018,Rest,Rest,2021,Rest,,3,3,3,17769,2,Americas,1,,59,62,7,,2,4,3,3,2,4,68,59,,4,4,4,4,79,76,,2,4,2,4,4,74,67,,2,4,2,4,2,4,77,70,,2,4,4,3,3,3,3,3,58,53,,3,3,3,3,3,4,57,55,,3,3,2,3,3,4,2,47,41,,3,3,3,3,4,4,3,3,3,1,55,53,,4,4,4,2,4,2,4,85,83,,3,3,3,3,2,4,4,67,63,,4,4,4,4,74,72,,2,,5,4,5,5,7,,4,2,,,,,,,,,,,,,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,2,High
